Model,Accuracy,Sensitivity,Specificity,Balanced_Accuracy
grayBoost_pred,0.869726682518903,0.403103229892337,0.890278940027894,0.646691084960116
rama_pred,0.925138261775629,0.10196326789107,0.96139470013947,0.53167898401527
mcf,0.958267653423816,0.0566814439518683,0.997977684797768,0.527329564374818
giantKillers_pred,0.958548184562772,0.052248258391387,0.998465829846583,0.525357044118985
glmnet_preds,0.958053915413182,0.032298923369221,0.998828451882845,0.515563687626033
20160321_ANBE_model_predictions,0.958080632664511,0.019632678910703,0.999414225941423,0.509523452426063
example1,0.920289080659382,0.0402153261557948,0.95905160390516,0.499633465030478
example2,0.91920703198055,0.0373654211526282,0.958047419804742,0.497706420478685
